,상권_구분_코드_명,상권_코드_명,분기당_매출_금액,분기당_매출_건수
423,관광특구,동대문패션타운 관광특구,7810291833.0,1217918.0
424,관광특구,동대문패션타운 관광특구,6176618801.0,986948.0
425,관광특구,동대문패션타운 관광특구,7140545264.0,1180860.0
426,관광특구,동대문패션타운 관광특구,7550123591.0,1210162.0
427,관광특구,동대문패션타운 관광특구,7810291833.0,1217918.0
428,관광특구,동대문패션타운 관광특구,6176618801.0,986948.0
429,관광특구,동대문패션타운 관광특구,7140545264.0,1180860.0
430,관광특구,동대문패션타운 관광특구,7550123591.0,1210162.0
431,관광특구,동대문패션타운 관광특구,7810291833.0,1217918.0
432,관광특구,동대문패션타운 관광특구,6176618801.0,986948.0
433,관광특구,동대문패션타운 관광특구,7140545264.0,1180860.0
434,관광특구,동대문패션타운 관광특구,7550123591.0,1210162.0
435,관광특구,동대문패션타운 관광특구,7810291833.0,1217918.0
436,관광특구,동대문패션타운 관광특구,6176618801.0,986948.0
